COUNTRY;YEAR;CODE;NDN;NDC;NDC per 1000 borns;NDN per 1000 borns;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
Switzerland;2013;CHE2013;1;4;0,046458578692702;0,011614644673176;9276;75;Yes;88460;99,9;86098,2;10,2;100;205;28;21;4000;73,1;8441000;0,047387750266556
Lebanon;2012;LBN2012;11;42;0,493258796448537;0,129186827641283;663;50;No;8530;80,7;85148;14;91;481;43;29;200;65,7;6082000;0,003288391976324
Austria;2013;AUT2013;0;3;0,036390984740047;0;5427;91;Yes;50750;100;82438;9,4;100;103;37;36;240;72;8770000;0,002736602052452
Austria;2012;AUT2012;0;7;0,084912297726777;0;5206;90;Yes;50060;100;82438;9,4;100;102;37;36;240;72;8770000;0,002736602052452
Portugal;2013;PRT2013;0;3;0,036918805701248;0;2037;90;No;21340;99,6;81259,4;7,9;99;114;32;14;210;71,4;10286000;0,002041609955279
Singapore;2000;SGP2000;1;17;0,213482017279486;0,012557765722323;662;45;Yes;23670;100;79632;14;100;6012;27;6;1000;70;5688000;0,017580872011252
Ireland;2012;IRL2012;0;2;0,02645660125272;0;4079;91;Yes;41720;90,3;75595,5;15,7;91;67;24;24;500;71,5;4815000;0,010384215991693
Denmark;2000;DNK2000;1;5;0,066878001150302;0,01337560023006;2613;80;Yes;32660;99,6;74763;13;100;126;42;35;1000;67,9;5751000;0,017388280299078
Costa Rica;2012;CRI2012;18;31;0,421252887620601;0,244598450876478;952;89;Yes;9210;94,3;73590;15;97;91;20;9;1000;69,8;4906000;0,020383204239707
Costa Rica;2013;CRI2013;10;36;0,489196901752956;0,13588802826471;1005;94;Yes;9810;94,5;73590;15;97;92;20;9;1000;69,8;4906000;0,020383204239707
Ireland;2013;IRL2013;1;7;0,096919349255798;0,013845621322257;4233;91;Yes;44240;90,4;72225;15;92;67;24;24;500;71,5;4815000;0,010384215991693
New Zealand;2000;NZL2000;3;23;0,323761261261261;0,04222972972973;1056;89;Yes;14080;95,3;71040;15;100;15;18,6;17,8;2000;69,1;4736000;0,04222972972973
Norway;2000;NOR2000;3;9;0,13089576334046;0,043631921113487;3165;90;Yes;36560;98,1;68757;13;98;12;43;41;2000;69,3;5289000;0,037814331631688
Ireland;2000;IRL2000;1;11;0,163180537012313;0,014834594273847;1593;91;Yes;24100;90,3;67410;14;89;55;33;31;500;67,4;4815000;0,010384215991693
New Zealand;2012;NZL2012;6;32;0,487149009138915;0,091340439213547;3954;93;Yes;36720;98,3;65688,32;13,87;100;17;18,6;17,8;2000;71,6;4736000;0,04222972972973
Serbia;2012;SRB2012;6;31;0,474090930640497;0,091759534962677;556;80;No;5700;96,5;65388,3;9,3;95;82;46;40;500;67,7;7031000;0,007111363959607
Serbia;2013;SRB2013;11;28;0,432865632323932;0,17005435555583;475;90;No;6050;96,5;64685,2;9,2;95;82;45;40;500;67,7;7031000;0,007111363959607
Norway;2012;NOR2012;1;6;0,094535829079221;0,015755971513204;9312;93;Yes;99100;98,1;63468;12;98;14;26;25;2000;72;5289000;0,037814331631688
New Zealand;2013;NZL2013;7;16;0,255937755937756;0,111972768222768;4063;93;Yes;39850;98,4;62515,2;13,2;100;17;18,6;17,8;2000;71,6;4736000;0,04222972972973
Norway;2013;NOR2013;0;1;0,016299280875728;0;9715;93;Yes;104190;98,1;61352,4;11,6;98;14;25;24;2000;72;5289000;0,037814331631688
Finland;2012;FIN2012;1;4;0,065995710278832;0,016498927569708;4158;92;Yes;48670;97,6;60610;11;99;18;25;20;700;71;5510000;0,012704174228675
Finland;2000;FIN2000;0;5;0,08249463784854;0;1700;90;Yes;26420;97,6;60610;11;99;17;34;26;700;67,9;5510000;0,012704174228675
Denmark;2012;DNK2012;0;1;0,016719500287575;0;6204;90;Yes;61650;99,6;59810,4;10,4;100;133;21;19;1000;71,2;5751000;0,017388280299078
Finland;2013;FIN2013;1;3;0,050884542971997;0,016961514323999;4449;92;Yes;49220;97,6;58957;10,7;99;18;24;20;700;71;5510000;0,012704174228675
Denmark;2013;DNK2013;0;1;0,017388280299078;0;6270;93;Yes;63200;99,6;57510;10;100;134;20;17;1000;71,2;5751000;0,017388280299078
Singapore;2012;SGP2012;2;23;0,400356491345337;0,034813607943073;2287;52;Yes;51110;100;57448,8;10,1;100;7525;28;5;1000;73,9;5688000;0,017580872011252
Singapore;2013;SGP2013;0;14;0,264658288341424;0;2507;60;Yes;54700;100;52898,4;9,3;100;7637;28;5;1000;73,9;5688000;0,017580872011252
Qatar;2000;QAT2000;0;8;0,159550068805967;0;652;89;Yes;75850;98;50141;19;100;51;19,4;1,4;100;65,5;2639000;0,003789314134142
Uruguay;2013;URY2013;1;21;0,433902227364767;0,020662010826894;1431;93;Yes;15580;96,1;48398;14;95;19;29;21;1000;67,9;3457000;0,028926815157651
Croatia;2012;HRV2012;3;4;0,098234239544193;0,073675679658145;950;90;No;13460;97,1;40719;9,8;97;76;39;32;100;69,4;4155000;0,002406738868833
Croatia;2013;HRV2013;4;11;0,281639654863405;0,102414419950329;982;99;No;13470;97,1;39057;9,4;97;76;39;33;100;69,4;4155000;0,002406738868833
Bahrain;2000;BHR2000;0;3;0,091335322413688;0;476;95;Yes;10940;99,2;32846;22;100;936;18;5;100;64,9;1493000;0,00669792364367
Qatar;2012;QAT2012;1;8;0,252620942276115;0,031577617784514;2029;92;Yes;75850;98;31668;12;100;182;19,4;1,4;100;67,8;2639000;0,003789314134142
Bosnia and Herzegovi;2012;BIH2012;7;14;0,443557329784875;0,221778664892437;446;5;No;4830;94,8;31563;9;95;71;49;31;1000;68,6;3507000;0,028514399771885
Bosnia and Herzegovi;2013;BIH2013;6;13;0,411874663371669;0,190095998479232;449;5;No;5180;94,8;31563;9;95;70;48;31;1000;68,6;3507000;0,028514399771885
Qatar;2013;QAT2013;1;8;0,253890394247351;0,031736299280919;2043;99;Yes;81810;98;31509,66;11,94;100;194;19,4;1,4;100;67,8;2639000;0,003789314134142
Lithuania;2013;LTU2013;0;7;0,242671325956125;0;966;40;Yes;15230;91,6;28845,6;10,1;92;230;40;22;500;66,1;2856000;0,01750700280112
Bahrain;2013;BHR2013;1;6;0,267204400678343;0,044534066779724;1067;99;Yes;21710;99,2;22454,72;15,04;100;1708;44;8;100;67;1493000;0,00669792364367
Bahrain;2012;BHR2012;0;0;0;0;920;99;Yes;19910;99,2;22395;15;100;1689;40;7;100;67;1493000;0,00669792364367
Slovenia;2012;SVN2012;1;4;0,180944712343144;0,045236178085786;2069;48;Yes;23280;99,1;22106,2;10,7;99;102;24;19;100;71,1;2066000;0,004840271055179
Slovenia;2013;SVN2013;1;1;0,047453637795873;0,047453637795873;2085;49;Yes;23070;99,1;21073,2;10,2;99;102;23;18;100;71,1;2066000;0,004840271055179
Latvia;2013;LVA2013;6;9;0,452488687782805;0,301659125188537;874;83;Yes;14900;86,9;19890;10,2;92;32;51;24;500;67,1;1950000;0,025641025641026
Latvia;2012;LVA2012;3;7;0,366300366300366;0,156985871271586;820;55;Yes;13790;86,5;19110;9,8;91;33;51;24;500;67,1;1950000;0,025641025641026
Slovenia;2000;SVN2000;0;0;0;0;831;40;Yes;11350;99,1;18594;9;99;99;30;23;100;66,8;2066000;0,004840271055179
Cyprus;2000;CYP2000;0;2;0,130378096479791;0;753;50;Yes;14860;100;15340;13;100;102;48;20;1000;69;1180000;0,084745762711864
Cyprus;2012;CYP2012;0;1;0,070621468926554;0;1955;60;Yes;28920;100;14160;12;100;123;48;20;1000;71,3;1180000;0,084745762711864
Estonia;2012;EST2012;1;3;0,215551308396442;0,071850436132147;994;80;No;16900;97,2;13917,8;10,6;100;31;44;25;200;69;1313000;0,015232292460015
Estonia;2013;EST2013;2;3;0,221829501844882;0,147886334563255;1072;85;No;18240;97,2;13523,9;10,3;100;31;43;25;200;69;1313000;0,015232292460015
Cyprus;2013;CYP2013;0;1;0,077041602465331;0;1884;70;Yes;27010;100;12980;11;100;124;48;20;1000;71,3;1180000;0,084745762711864
Brunei Darussalam;2000;BRN2000;1;4;0,444000444000444;0,111000111000111;543;80;No;14680;95;9009;21;96;63;30;5;21000;67,6;429000;4,8951048951049
Luxembourg;2000;LUX2000;0;0;0;0;3500;90;Yes;46590;97,6;7670;13;98;168;34;26;100;68,5;590000;0,016949152542373
Montenegro;2012;MNE2012;1;2;0,267522739432852;0,133761369716426;472;75;No;7000;94,6;7476;12;95;46;34,6;20,2;100;67,9;623000;0,016051364365971
Montenegro;2013;MNE2013;1;1;0,133761369716426;0,133761369716426;461;90;No;7330;95,1;7476;12;95;46;34,6;20,2;100;67,9;623000;0,016051364365971
Brunei Darussalam;2013;BRN2013;1;3;0,437062937062937;0,145687645687646;974;90;No;45180;95;6864;16;96;77;29;3;21000;70,3;429000;4,8951048951049
Luxembourg;2012;LUX2012;0;0;0;0;7551;95;Yes;75450;97,6;6667;11,3;98;205;27;22;200;71,8;590000;0,033898305084746
Luxembourg;2013;LUX2013;0;0;0;0;7981;95;Yes;75500;97,6;6667;11,3;98;210;27;21;200;71,8;590000;0,033898305084746
Iceland;2000;ISL2000;0;0;0;0;2961;80;Yes;31560;98,8;5055;15;99;3;34;27;50;70,3;337000;0,014836795252226
Malta;2000;MLT2000;1;1;0,20708221163802;0,20708221163802;656;80;No;10920;100;4829;11;100;1219;39;27;100;68,2;439000;0,022779043280182
Iceland;2012;ISL2012;0;0;0;0;3850;86;Yes;40750;98,8;4751,7;14,1;99;3;19;17;50;72,7;337000;0,014836795252226
Iceland;2013;ISL2013;0;0;0;0;4126;88;Yes;47080;98,8;4515,8;13,4;99;3;19;16;50;72,7;337000;0,014836795252226
Malta;2012;MLT2012;0;1;0,232439217144717;0;1857;90;No;21650;100;4302,2;9,8;100;1311;32;22;100;71,7;439000;0,022779043280182
Malta;2013;MLT2013;0;1;0,239779402949287;0;2000;95;No;22790;100;4170,5;9,5;100;1323;32;21;100;71,7;439000;0,022779043280182
Barbados;2000;BRB2000;0;0;0;0;602;80;Yes;11160;94,9;4004;14;88;628;14;2;200;64,7;286000;0,06993006993007
Barbados;2013;BRB2013;0;0;0;0;1007;87;Yes;15920;95,5;3432;12;96;657;13;1;200;66,8;286000;0,06993006993007
Barbados;2012;BRB2012;0;1;0,291375291375291;0;1009;84;Yes;15960;94,9;3432;12;95;655;13;1;200;66,8;286000;0,06993006993007
Saint Lucia;2012;LCA2012;1;1;0,349162011173184;0,349162011173184;573;80;No;8060;89,5;2864;16;90;287;16,3;4,6;600;66,1;179000;0,335195530726257
Antigua and Barbuda;2000;ATG2000;0;0;0;0;420;20;No;9230;85;2142;21;82;190;5;1,9;100;65;102000;0,098039215686275
